GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wocomp,TimeFrame,GeoVintage,Source,Location
Census Tract,53053070316,WA,53053070316,53053070316,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070401,WA,53053070401,53053070401,1.98,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070403,WA,53053070403,53053070403,1.28,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070404,WA,53053070404,53053070404,3.59,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053070703,WA,53053070703,53053070703,2.85,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071100,WA,53053071100,53053071100,8.51,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071205,WA,53053071205,53053071205,4.79,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071206,WA,53053071206,53053071206,4.32,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071207,WA,53053071207,53053071207,8.87,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071209,WA,53053071209,53053071209,1.36,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071210,WA,53053071210,53053071210,3.48,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071211,WA,53053071211,53053071211,6.32,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071212,WA,53053071212,53053071212,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071304,WA,53053071304,53053071304,3.8,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071305,WA,53053071305,53053071305,0.57,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071306,WA,53053071306,53053071306,2.48,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071307,WA,53053071307,53053071307,0.54,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071309,WA,53053071309,53053071309,1.56,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071310,WA,53053071310,53053071310,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071403,WA,53053071403,53053071403,2.44,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071408,WA,53053071408,53053071408,1.89,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071409,WA,53053071409,53053071409,5.31,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071411,WA,53053071411,53053071411,5.08,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071412,WA,53053071412,53053071412,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071413,WA,53053071413,53053071413,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071414,WA,53053071414,53053071414,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071415,WA,53053071415,53053071415,0,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071416,WA,53053071416,53053071416,2.91,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071417,WA,53053071417,53053071417,2.46,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071503,WA,53053071503,53053071503,8.86,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071504,WA,53053071504,53053071504,1.12,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071505,WA,53053071505,53053071505,4.66,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071506,WA,53053071506,53053071506,2.17,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071601,WA,53053071601,53053071601,5.43,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071603,WA,53053071603,53053071603,9.89,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071604,WA,53053071604,53053071604,3.54,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071703,WA,53053071703,53053071703,5.46,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071704,WA,53053071704,53053071704,1.23,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071705,WA,53053071705,53053071705,2.79,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071706,WA,53053071706,53053071706,7.13,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071707,WA,53053071707,53053071707,7.93,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071803,WA,53053071803,53053071803,8.2,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071805,WA,53053071805,53053071805,6.2,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071806,WA,53053071806,53053071806,8.74,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071807,WA,53053071807,53053071807,3.95,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071808,WA,53053071808,53053071808,7.53,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071901,WA,53053071901,53053071901,12.26,2017-2021,2020,Census,"Pierce (County, 2020)"
Census Tract,53053071902,WA,53053071902,53053071902,5.69,2017-2021,2020,Census,"Pierce (County, 2020)"
