,census tract,income z-score,computers z-score,internet z-score,composite index value,,,,,,
113,53053072109,-0.054897978,0.120444704,0.278551934,276318083.90283,,,,,,
114,53053072111,0.928026463,0.411268373,0.903788628,276318083.92314,,,,,,
115,53053072112,-0.056118562,-0.487344087,-0.08738117,276318083.91338,,,,,,
116,53053072305,0.065034238,-0.000459518,-0.242478645,276318084.92095,,,,,,
117,53053072307,-0.381896355,0.064894116,0.53058533,276318084.93340,,,,,,
118,53053072309,0.838057614,0.885082216,0.97649057,276318084.95677,,,,,,
119,53053072310,-0.720746208,-1.033046927,-0.08738117,276318084.93833,,,,,,
120,53053072311,-0.913559098,-0.555965402,-0.22309146,276318084.94431,,,,,,
121,53053072312,-0.17585391,0.300167196,-0.336991168,276318084.95723,,,,,,
122,53053072313,1.018270928,0.319773286,0.622674456,276318084.97375,,,,,,
123,53053072314,-0.062812087,-1.238910872,0.152535236,276318084.96276,,,,,,
124,53053072315,0.392780715,0.898152942,1.434512799,276318084.98815,,,,,,
125,53053072405,2.332761093,0.4243391,1.21156018,276318085.46338,,,,,,
126,53053072406,1.872089087,0.907955987,1.146128432,276318085.46837,,,,,,
127,53053072407,0.278990792,0.551778685,0.140418246,276318085.45818,,,,,,
128,53053072408,0.653080086,0.764177994,1.155822025,276318085.47173,,,,,,
129,53053072409,1.504142087,0.947168168,1.184902801,276318085.48248,,,,,,
130,53053072410,2.086596872,0.450480553,0.409415428,276318085.48410,,,,,,
131,53053072503,0.737300378,-0.392581319,-0.043760005,276318085.95469,,,,,,
132,53053072504,1.962018562,0.470086643,0.831086687,276318085.97533,,,,,,
133,53053072506,1.154858209,0.894885261,0.811699503,276318085.98365,,,,,,
134,53053072507,-0.072734253,-0.281480142,0.491810962,276318085.97467,,,,,,
135,53053072508,0.910032694,1.077875434,0.746267756,276318085.99341,,,,,,
136,53053072509,0.990669982,1.28373938,1.434512799,276318086.00369,,,,,,
137,53053072601,1.281641445,0.924294396,1.233370762,276318086.48145,,,,,,
138,53053072602,0.170083205,0.760910312,-0.08738117,276318086.47314,,,,,,
139,53053072603,-0.646920566,0.54197564,0.436072807,276318086.47568,,,,,,
140,53053072801,1.27065619,1.28373938,1.434512799,276318087.52598,,,,,,
141,53053072802,0.340846837,0.440677508,0.809276105,276318087.51870,,,,,,
142,53053072901,-1.38179085,1.28373938,1.197019791,276318088.03177,,,,,,
143,53053072903,-0.966831682,1.28373938,1.434512799,276318088.04558,,,,,,
144,53053072907,-1.401241446,-0.405652045,0.261588148,276318088.04924,,,,,,
145,53053072908,-1.606181429,1.28373938,0.12345446,276318088.06146,,,,,,
146,53053073001,0.496924088,-1.784613711,-2.12788232,276318088.52909,,,,,,
147,53053073005,0.083342998,-0.755293984,-1.713481255,276318088.55528,,,,,,
148,53053073006,0.708518221,0.084500206,-0.845904757,276318088.57264,,,,,,
149,53053073110,0.507436859,0.208672109,0.637214844,276318089.12163,,,,,,
150,53053073111,0.025188079,0.555046367,0.833510085,276318089.12715,,,,,,
151,53053073114,0.013179108,-1.934927068,-1.44690747,276318089.11787,,,,,,
152,53053073115,0.71332181,-0.271677097,-0.072840782,276318089.14255,,,,,,
153,53053073116,0.837545757,0.296899515,0.448189797,276318089.15408,,,,,,
154,53053073117,0.707140143,-1.153951148,-1.475988247,276318089.14103,,,,,,
155,53053073118,0.209889992,0.917759032,1.163092219,276318089.16818,,,,,,
156,53053073119,0.109802108,-0.049474743,0.717186979,276318089.16551,,,,,,
157,53053073120,0.216544143,1.104016888,0.663872222,276318089.17700,,,,,,
158,53053073121,0.960824735,0.551778685,0.966796978,276318089.18479,,,,,,
159,53053073122,0.712809952,1.084410798,0.993454356,276318089.19162,,,,,,
160,53053073123,1.772906798,1.28373938,0.603287271,276318089.20135,,,,,,
161,53053073124,0.563819963,1.090946161,1.046769113,276318089.20157,,,,,,
162,53053073126,0.367069705,1.28373938,1.434512799,276318089.21399,,,,,,
163,53053073127,-0.428160424,0.280561106,-0.591447962,276318089.19928,,,,,,
164,53053073128,0.318246347,-0.235732598,0.087103489,276318089.20922,,,,,,
165,53053073129,0.812031615,0.858940762,1.119471054,276318089.22808,,,,,,
