census tract,income z-score,computers z-score,internet z-score,composite index value
53033022205,-0.348408741,-0.055902804,-0.118764051,-0.174358532
53033022300,1.175802651,0.232167631,0.532244382,0.646738222
53033022401,0.79796728,0.710102671,0.912433307,0.80683442
53033022402,0.077438602,0.507143955,0.610365394,0.398315984
53033022501,0.95289491,-0.386529099,0.563492787,0.376619533
53033022502,0.316870096,0.69700856,0.206740166,0.406872941
53033022603,0.585229792,1.001446634,0.334337819,0.640338081
53033022604,0.965043359,0.471135151,0.389022527,0.608400346
53033022605,0.015113803,0.425305764,0.995762387,0.478727318
53033022606,0.251589639,-0.769531836,-0.26458994,-0.260844045
53033022701,1.105192703,0.78212028,0.821292127,0.90286837
53033022702,1.723786122,-0.343973239,-0.350523053,0.34309661
53033022703,1.162327648,0.801761446,0.800459857,0.921516317
53033022802,0.985802777,1.001446634,0.873372801,0.953540737
53033022803,0.784399185,-0.121373357,0.665050103,0.442691977
53033022804,-0.006599804,0.713376199,0.902017172,0.536264522
53033022805,0.375354869,0.716649726,-0.399999694,0.2306683
53033022901,1.083409278,1.001446634,1.14419231,1.076349407
53033022902,1.168471691,0.729743837,0.152055458,0.683423662
53033023000,1.177105933,0.79521439,0.206740166,0.726353497
53033023100,1.13279435,0.801761446,0.826500194,0.920351997
53033023201,-0.285222844,-0.360340877,-1.912943292,-0.852835671
53033023202,-1.032724802,-3.365439278,-3.280061002,-2.559408361
53033023300,0.153401316,0.824676139,0.045290074,0.34112251
53033023401,0.134084817,-0.943028802,0.055706209,-0.251079259
53033023403,0.806508431,1.001446634,1.14419231,0.984049125
53033023404,0.218867956,0.06521772,0.399438662,0.227841446
53033023500,0.683837027,0.323826406,0.308297481,0.438653638
53033023601,0.4136155,-0.046082221,0.376002358,0.247845213
53033023603,0.70994921,0.674093867,0.594741192,0.659594756
53033023604,-0.188244711,-0.432358486,0.636405732,0.005267512
53033023701,1.589990277,0.464588096,0.899413139,0.984663837
53033023702,0.148793284,1.001446634,1.14419231,0.764810742
53033023801,0.116094873,1.001446634,0.748379182,0.621973563
53033023805,0.530957412,1.001446634,0.831708262,0.788037436
53033023806,0.732035183,-0.497829039,0.678070271,0.304092138
53033023807,0.52071734,-0.163929217,0.217156301,0.191314808
53033023808,0.355340183,1.001446634,1.14419231,0.833659709
53033023901,0.882750419,-0.684420117,-0.022414803,0.0586385
53033023902,3.164354747,1.001446634,1.14419231,1.769997897
53033024001,1.362218501,0.225620576,0.180699829,0.589512969
53033024002,0.980077646,0.386023432,0.94888978,0.771663619
53033024100,3.164354747,0.716649726,0.933265577,1.604756684
53033024200,2.198506535,-0.023167527,0.329129751,0.83482292
53033024301,-0.377499854,-2.389928033,-1.480673693,-1.41603386
53033024302,1.899263714,1.001446634,0.503600011,1.13477012
53033024400,-0.271654749,0.536605704,0.94888978,0.404613578
53033024500,2.99809322,1.001446634,1.021802724,1.673780859
53033024601,3.164354747,0.801761446,1.016594657,1.660903617
53033024602,3.164354747,0.228894103,0.508808079,1.300685643
53033024701,-0.417296496,0.831223195,1.14419231,0.519373003
53033024703,1.51384138,-0.095185136,0.618177496,0.67894458
53033024704,1.152017758,1.001446634,1.14419231,1.0992189
53033024800,-0.016304599,1.001446634,0.792647756,0.592596597
53033024901,1.86686785,0.860684944,0.922849442,1.216800746
53033024902,1.606979487,1.001446634,0.94888978,1.185771967
53033024904,2.761617384,1.001446634,1.14419231,1.635752109
53033024905,2.827223661,1.001446634,1.14419231,1.657620868
53033025001,0.686303954,0.225620576,0.456727404,0.456217311
53033025005,0.650510249,0.59880273,0.376002358,0.541771779
53033025006,1.221510608,0.824676139,1.003574488,1.016587078
53033025007,0.724099127,0.428579291,0.899413139,0.684030519
53033025008,1.580099298,0.274723491,0.566096821,0.806973203
53033025101,-0.347128732,-0.288323268,0.295277313,-0.113391563
53033025103,0.023282587,0.166697078,0.480163708,0.223381124
53033025104,0.164153391,0.104500052,0.430687067,0.233113503
53033025201,-0.402681121,0.441673402,0.469747573,0.169579951
53033025202,-0.317711799,-0.857917083,-1.488485794,-0.888038225
53033025302,-1.562881239,-2.96934243,-1.730660931,-2.0876282
53033025303,-0.825246986,0.772299697,1.107735837,0.351596183
53033025304,-0.047094633,0.513691011,0.571304888,0.345967089
53033025401,-1.122488339,-0.019893999,-2.004084473,-1.04882227
53033025402,-0.638388952,-1.195090433,-0.603114325,-0.812197903
53033025500,-1.01024319,-0.897199415,-1.014551655,-0.973998087
53033025601,-0.912147958,0.719923254,0.810875992,0.206217096
53033025602,1.028438711,0.68391445,0.665050103,0.792467755
53033025702,-0.093873142,0.133961801,0.073934446,0.038007702
53033025703,-0.978592059,-1.254013931,-0.097931781,-0.776845924
53033025704,-0.689379854,-0.579667231,-0.347919019,-0.538988701
53033025803,-0.860156322,-0.812087696,-0.329690783,-0.6673116
53033025804,-0.681769619,-2.219704594,-1.845238415,-1.582237543
53033025805,-0.908796662,-0.095185136,-0.110951949,-0.371644582
53033025806,-0.478899836,0.467861623,-0.522389279,-0.177809164
53033026001,-0.23888652,-1.178722795,-0.722899877,-0.713503064
53033026003,-1.394129512,0.631538007,0.139035289,-0.207852072
53033026004,-0.106952506,-0.952849385,-0.410415829,-0.490072573
53033026101,-1.087811733,-0.147561579,-1.176001746,-0.803791686
53033026102,-1.196147036,-0.497829039,-0.910390305,-0.868122127
53033026200,-0.985411016,-0.802267113,-1.183813847,-0.990497325
53033026300,-0.990158686,0.097952997,-0.918202406,-0.603469365
53033026400,-1.099680907,-0.147561579,-0.522389279,-0.589877255
53033026500,-1.291658977,-2.128045819,-2.280112048,-1.899938948
53033026600,-0.528005634,-0.088638081,0.623385563,0.002247283
53033026700,-0.185731239,-1.198363961,0.329129751,-0.351655149
53033026801,-1.118345765,-1.103431658,-0.360939188,-0.860905537
53033026802,-0.982269176,0.166697078,0.506204045,-0.103122684
53033027000,-0.438567917,0.025935388,0.368190257,-0.014814091
53033027100,-1.555852826,-2.072395849,-2.949348718,-2.192532464
53033027200,-1.189630627,-0.330879128,-1.293183264,-0.937897673
53033027300,-0.578926717,1.001446634,1.14419231,0.522237409
53033027400,-0.793595856,-1.997104712,-1.858258584,-1.549653051
53033027500,-0.82350152,-0.913567053,-0.506765077,-0.74794455
53033027600,-0.705787241,0.389296959,-0.16042859,-0.158972958
53033027701,-0.728059397,0.20597941,-1.561398738,-0.694492909
53033027702,-0.230485007,0.153602967,-0.399999694,-0.158960578
53033027800,0.355968551,0.222347048,0.448915303,0.342410301
53033027901,-0.140744742,0.238714686,0.771815486,0.289928477
53033027902,-1.163215897,-0.301417379,0.107786884,-0.452282131
53033028000,-0.934978663,-1.486434396,-0.834873327,-1.085428795
53033028100,-1.190189176,-0.877558249,-1.845238415,-1.304328614
53033028200,-1.052064573,-0.628770146,-0.413019862,-0.697951527
53033028300,-0.294927639,0.58570862,-0.379167424,-0.029462148
53033028402,-1.045315435,0.759205586,-1.337451837,-0.541187229
53033028403,-1.25616782,-3.20830995,-2.53270332,-2.332393697
53033028500,-0.722241175,-2.095310542,-0.764564416,-1.194038711
53033028600,-0.039973128,-0.442179069,-0.556241718,-0.346131305
53033028700,0.080114985,0.300911712,0.284861178,0.221962625
53033028801,-1.070938887,-2.147686985,-2.678529209,-1.965718361
53033028802,-1.116274477,-0.972490551,-0.298442378,-0.795735802
53033028901,-0.802276644,-0.733523032,-0.254173805,-0.596657827
53033028902,-1.465810014,-0.196664494,-0.28542221,-0.649298906
53033029001,-0.754125034,-0.144288051,0.14684739,-0.250521898
53033029003,-1.15921296,0.241988214,0.842124397,-0.02503345
53033029004,-1.678268228,-0.484734929,-0.993719385,-1.052240847
53033029101,-0.625100131,0.317279351,-0.199489096,-0.169103292
53033029102,-0.809514513,0.3467411,-0.524993313,-0.329255575
53033029203,-0.968328715,-4.439156354,-2.55353559,-2.653673553
53033029205,-0.95089732,-1.646837252,-0.96247098,-1.186735184
53033029206,-1.713456838,-2.864589545,-2.295736251,-2.291260878
53033029207,-0.175886806,0.461314568,1.14419231,0.476540024
53033029208,-1.126607641,0.883599638,1.14419231,0.300394769
53033029304,-0.301397503,0.791940863,0.667654136,0.386065832
53033029305,-0.375079473,0.611896841,0.524432281,0.253749883
53033029306,-0.069180605,0.111047107,-0.110951949,-0.023028482
53033029307,0.247353973,0.726470309,0.805667924,0.593164069
53033029308,-0.461142621,-1.188543378,-1.264538893,-0.971408297
53033029309,-0.774744815,0.340194044,-0.053663207,-0.162737993
53033029403,-0.407405517,0.657726228,0.847332464,0.365884392
53033029405,-0.0463499,0.857411416,0.201532098,0.337531205
53033029406,-0.034364362,0.916334914,0.553076652,0.478349068
53033029407,-1.253631075,0.742837948,0.318713616,-0.064026504
53033029408,-1.147064511,-1.735222499,-0.558845751,-1.147044254
53033029504,-0.962533765,-0.232673298,-0.18126086,-0.458822641
53033029505,-1.282838552,1.001446634,0.870768768,0.19645895
53033029506,-1.339694222,-0.743343615,-0.014602701,-0.699213513
53033029507,-0.234627581,0.202705882,0.508808079,0.158962127
53033029508,0.145697989,1.001446634,1.14419231,0.763778977
53033029602,0.725821321,-0.330879128,-0.001582533,0.131119887
53033029603,-0.103694301,1.001446634,1.14419231,0.680648214
53033029604,-1.038217204,1.001446634,0.792647756,0.251959062
53033029701,-1.129470206,-1.777778358,-1.748889167,-1.55204591
53033029702,-1.037309561,-1.054328743,-1.110900903,-1.067513069
53033029803,-0.899324596,-0.13119394,-0.74633618,-0.592284905
53033029804,0.336675325,1.001446634,1.14419231,0.82743809
53033029805,-0.270235103,0.592255675,0.493183876,0.271734816
53033029806,-0.552651625,0.395844015,0.139035289,-0.005924107
53033029901,-0.367911423,0.644632118,1.01919869,0.431973128
53033029902,0.572383157,0.484229262,0.644217833,0.566943417
53033030003,-0.868674199,-0.275229158,-0.207301198,-0.450401518
53033030005,-0.89227291,0.827949667,-0.59269819,-0.219007144
53033030006,-1.364922035,-1.659931362,-0.988511317,-1.337788238
53033030007,-1.621552195,0.520238066,0.123411086,-0.325967681
53033030008,-1.168824663,-0.193390966,-0.798416855,-0.720210828
53033030101,-0.995697634,-0.258861519,-1.488485794,-0.914348316
53033030102,-0.294438909,-1.440605008,-0.798416855,-0.844486924
53033030201,-1.023927649,0.127414746,-0.071891443,-0.322801449
53033030203,-1.014455583,1.001446634,-0.035434971,-0.016147974
53033030204,-1.321331912,-1.073969909,-3.733162871,-2.042821564
53033030304,-0.416784492,0.294364657,0.873372801,0.250317655
53033030305,-0.969119993,0.729743837,-0.579678021,-0.273018059
