GeoID,phh_wocomp,phh_wointernet
53053072105,2.55,3.7
53053072106,5.86,10.12
53053072107,4.59,5.09
53053072108,4.41,3.59
53053072109,3.56,4.77
53053072111,2.67,2.19
53053072112,5.42,6.28
53053072305,3.93,6.92
53053072307,3.73,3.73
53053072309,1.22,1.89
53053072310,7.09,6.28
53053072311,5.63,6.84
53053072312,3.01,7.31
53053072313,2.95,3.35
53053072314,7.72,5.29
53053072315,1.18,0
53053072405,2.63,0.92
53053072406,1.15,1.19
53053072407,2.24,5.34
53053072408,1.59,1.15
53053072409,1.03,1.03
53053072410,2.55,4.23
53053072503,5.13,6.1
53053072504,2.49,2.49
53053072506,1.19,2.57
53053072507,4.79,3.89
53053072508,0.63,2.84
53053072509,0,0
53053072601,1.1,0.83
53053072602,1.6,6.28
53053072603,2.27,4.12
53053072801,0,0
53053072802,2.58,2.58
53053072901,0,0.98
53053072903,0,0
53053072907,5.17,4.84
53053072908,0,5.41
53053073001,9.39,14.7
53053073005,6.24,12.99
53053073006,3.67,9.41
53053073110,3.29,3.29
53053073111,2.23,2.48
53053073114,9.85,11.89
53053073115,4.76,6.22
53053073116,3.02,4.07
53053073117,7.46,12.01
53053073118,1.12,1.12
53053073119,4.08,2.96
53053073120,0.55,3.18
53053073121,2.24,1.93
53053073122,0.61,1.82
53053073123,0,3.43
53053073124,0.59,1.6
53053073126,0,0
53053073127,3.07,8.36
53053073128,4.65,5.56
53053073129,1.3,1.3
53053073130,4.16,15.66
53053073131,4.42,3.33
53053073132,5.52,5.38
53053073133,3.23,3.23
53053073200,3.46,6.55
53053073301,4.28,6.89
53053073302,2.82,3.88
53053073404,9.89,14.12
53053073405,4.6,10.31
53053073406,3.35,4.63
53053073407,5.11,11.43
53053073408,4.6,6.17
53053073501,0.91,1.68
53053073502,2.04,3.34
53053940001,0.94,0.94
53053940002,3.33,7.61
53053940004,1.81,6.94
53053940005,3.32,4.02
53053940006,9.03,15.08
53053940007,7.42,11.27
53053940008,3.8,3.96
53053940009,2.01,3.59
53053940010,6.97,9.75
53053940011,1.31,1.54
53053940012,1.6,5.84
53053940013,2.74,3.09
