GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wointernet,TimeFrame,GeoVintage,Source,Location
Census Tract,53033006400,WA,53033006400,53033006400,1.3,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006500,WA,53033006500,53033006500,1.01,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006600,WA,53033006600,53033006600,0.64,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006701,WA,53033006701,53033006701,6.02,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006702,WA,53033006702,53033006702,1.57,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006703,WA,53033006703,53033006703,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006800,WA,53033006800,53033006800,2.21,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033006900,WA,53033006900,53033006900,1.31,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007001,WA,53033007001,53033007001,3.21,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007002,WA,53033007002,53033007002,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007101,WA,53033007101,53033007101,1.72,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007102,WA,53033007102,53033007102,7.5,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007201,WA,53033007201,53033007201,4.33,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007202,WA,53033007202,53033007202,4.5,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007203,WA,53033007203,53033007203,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007301,WA,53033007301,53033007301,5.32,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007302,WA,53033007302,53033007302,6.89,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007303,WA,53033007303,53033007303,0.7,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007403,WA,53033007403,53033007403,1.36,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007404,WA,53033007404,53033007404,1.56,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007405,WA,53033007405,53033007405,14.97,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007406,WA,53033007406,53033007406,5.49,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007501,WA,53033007501,53033007501,6.22,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007502,WA,53033007502,53033007502,9.96,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007503,WA,53033007503,53033007503,9.51,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007600,WA,53033007600,53033007600,1.4,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007700,WA,53033007700,53033007700,2.44,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007800,WA,53033007800,53033007800,2.42,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007901,WA,53033007901,53033007901,3.54,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007902,WA,53033007902,53033007902,1.45,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008002,WA,53033008002,53033008002,12.35,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008003,WA,53033008003,53033008003,1.06,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008004,WA,53033008004,53033008004,0.97,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008101,WA,53033008101,53033008101,10.15,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008102,WA,53033008102,53033008102,8.56,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008200,WA,53033008200,53033008200,4.06,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008300,WA,53033008300,53033008300,9.49,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008401,WA,53033008401,53033008401,5.11,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008402,WA,53033008402,53033008402,3,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008500,WA,53033008500,53033008500,10.52,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008600,WA,53033008600,53033008600,5.42,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008700,WA,53033008700,53033008700,5.38,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008800,WA,53033008800,53033008800,3.76,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033008900,WA,53033008900,53033008900,3.97,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009000,WA,53033009000,53033009000,9.28,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009100,WA,53033009100,53033009100,18.39,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009200,WA,53033009200,53033009200,17.77,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009300,WA,53033009300,53033009300,6.16,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009400,WA,53033009400,53033009400,10.54,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009500,WA,53033009500,53033009500,0.97,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009600,WA,53033009600,53033009600,6.57,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009701,WA,53033009701,53033009701,1.9,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009702,WA,53033009702,53033009702,0.68,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009801,WA,53033009801,53033009801,6.84,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009802,WA,53033009802,53033009802,2.38,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009900,WA,53033009900,53033009900,3.89,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010001,WA,53033010001,53033010001,11.74,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010002,WA,53033010002,53033010002,7.39,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010102,WA,53033010102,53033010102,3.69,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010200,WA,53033010200,53033010200,4.7,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010301,WA,53033010301,53033010301,6.6,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010302,WA,53033010302,53033010302,8.01,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010401,WA,53033010401,53033010401,7.78,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010402,WA,53033010402,53033010402,5.78,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010501,WA,53033010501,53033010501,6.85,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010502,WA,53033010502,53033010502,2.03,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010601,WA,53033010601,53033010601,3.34,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010602,WA,53033010602,53033010602,0.62,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010701,WA,53033010701,53033010701,6.5,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010702,WA,53033010702,53033010702,5.12,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010800,WA,53033010800,53033010800,2.77,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010900,WA,53033010900,53033010900,9.44,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011001,WA,53033011001,53033011001,17.8,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011002,WA,53033011002,53033011002,8.72,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011101,WA,53033011101,53033011101,6.69,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011102,WA,53033011102,53033011102,9.41,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011200,WA,53033011200,53033011200,9.72,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011300,WA,53033011300,53033011300,13.7,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011401,WA,53033011401,53033011401,4.67,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011402,WA,53033011402,53033011402,4.54,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011500,WA,53033011500,53033011500,2.22,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011601,WA,53033011601,53033011601,3.99,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011602,WA,53033011602,53033011602,2.5,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011700,WA,53033011700,53033011700,5.52,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011801,WA,53033011801,53033011801,3.87,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011802,WA,53033011802,53033011802,11.65,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011901,WA,53033011901,53033011901,4.26,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011902,WA,53033011902,53033011902,3.25,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033012000,WA,53033012000,53033012000,1.8,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033012100,WA,53033012100,53033012100,0.34,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020100,WA,53033020100,53033020100,2.81,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020200,WA,53033020200,53033020200,9.38,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020301,WA,53033020301,53033020301,4.85,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020302,WA,53033020302,53033020302,3.96,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020401,WA,53033020401,53033020401,5.73,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020402,WA,53033020402,53033020402,3.95,2017-2021,2020,Census,"King (County, 2020)"
