,census tract,income z-score,computers z-score,internet z-score,composite index value
167,53033011602,0.065359972,0.183064716,0.493183876,107790673.98931
168,53033011700,-0.72929286,0.693735033,-0.293234311,107790674.18632
169,53033011801,-0.421136522,1.001446634,0.136431255,107790674.39373
170,53033011802,-1.091279393,-2.933333626,-1.889506989,107790674.38229
171,53033011901,0.45299323,1.001446634,0.03487394,107790674.59856
172,53033011902,0.043832549,-0.782625947,0.297881347,107790674.59666
173,53033012000,0.002918808,0.54315276,0.675466238,107790674.79923
174,53033012100,1.251602455,0.890146693,1.055655163,107790675.00650
175,53033020100,-0.31764198,0.926155497,0.412458831,107790691.26224
176,53033020200,-0.599616317,-0.965943496,-1.298391331,107790691.45759
177,53033020301,-1.12137124,-0.586214286,-0.118764051,107790691.66499
178,53033020302,-0.730968509,1.001446634,0.112994952,107790691.67151
179,53033020401,-0.592168992,-0.383255571,-0.347919019,107790691.86926
180,53033020402,-0.431330048,0.539879232,0.115598985,107790691.87444
181,53033020500,-0.195412761,-0.010073416,-0.215113299,107790692.07232
182,53033020600,0.361600591,-0.697514227,-0.207301198,107790692.27532
183,53033020700,-0.599127586,0.428579291,0.704110609,107790692.48076
184,53033020800,0.513083833,-0.249040936,-1.608271346,107790692.68019
185,53033020900,-0.224783149,0.480955734,-0.170844725,107790692.88635
186,53033021000,-0.2840592,-0.70733481,-0.204697164,107790693.08700
187,53033021100,-0.143165123,0.431852819,-1.087464599,107790693.29106
188,53033021300,-0.39397706,0.166697078,-0.139596321,107790693.69844
189,53033021400,0.875838371,-1.04450816,-0.618738527,107790693.90084
190,53033021500,1.069771364,0.693735033,0.67025817,107790694.11064
191,53033021600,-0.040880771,1.001446634,1.14419231,107790694.31322
192,53033021701,0.810860462,1.001446634,0.857748599,107790694.51965
193,53033021702,-0.919339281,-2.841674851,-1.798365808,107790694.50496
194,53033021802,-0.013069667,0.435126347,0.849936498,107790694.72210
195,53033021803,0.040597617,0.395844015,0.461935472,107790694.72337
196,53033021804,-0.285036661,-0.376708516,-1.194229982,107790694.71980
197,53033021903,-0.688006753,-1.846522439,-0.801020889,107790694.91802
198,53033021904,0.36795409,0.5005969,0.524432281,107790694.92966
199,53033021905,-0.217894373,-0.383255571,-0.228133467,107790694.92718
200,53033021906,0.279028377,-0.023167527,0.370794291,107790694.93217
201,53033022001,0.101828591,-1.643563724,-0.623946595,107790695.11958
202,53033022003,0.179653136,0.575888037,0.599949259,107790695.13080
203,53033022005,-0.634199831,0.634811535,0.990554319,107790695.13413
204,53033022006,-0.072206081,0.769026169,0.607761361,107790695.13680
205,53033022101,1.069771364,-0.052629276,0.240592604,107790695.32979
206,53033022102,0.777743139,0.831223195,0.683278339,107790695.33393
207,53033022201,-0.140861107,1.001446634,0.274445043,107790695.53279
208,53033022203,0.514480206,0.985078995,1.14419231,107790695.53993
209,53033022204,0.389318603,0.677367394,0.88639297,107790695.54056
210,53033022205,-0.348408741,-0.055902804,-0.118764051,107790695.53755
211,53033022300,1.175802651,0.232167631,0.532244382,107790695.73565
212,53033022401,0.79796728,0.710102671,0.912433307,107790695.94191
213,53033022402,0.077438602,0.507143955,0.610365394,107790695.94145
214,53033022501,0.95289491,-0.386529099,0.563492787,107790696.14254
215,53033022502,0.316870096,0.69700856,0.206740166,107790696.14476
216,53033022603,0.585229792,1.001446634,0.334337819,107790696.35147
217,53033022604,0.965043359,0.471135151,0.389022527,107790696.35330
218,53033022605,0.015113803,0.425305764,0.995762387,107790696.35455
219,53033022606,0.251589639,-0.769531836,-0.26458994,107790696.35207
220,53033022701,1.105192703,0.78212028,0.821292127,107790696.55225
221,53033022702,1.723786122,-0.343973239,-0.350523053,107790696.55087
222,53033022703,1.162327648,0.801761446,0.800459857,107790696.55643
223,53033022802,0.985802777,1.001446634,0.873372801,107790696.75785
224,53033022803,0.784399185,-0.121373357,0.665050103,107790696.75676
225,53033022804,-0.006599804,0.713376199,0.902017172,107790696.75937
226,53033022805,0.375354869,0.716649726,-0.399999694,107790696.75954
227,53033022901,1.083409278,1.001446634,1.14419231,107790696.95982
228,53033022902,1.168471691,0.729743837,0.152055458,107790696.95945
229,53033023000,1.177105933,0.79521439,0.206740166,107790697.15890
230,53033023100,1.13279435,0.801761446,0.826500194,107790697.36334
231,53033023201,-0.285222844,-0.360340877,-1.912943292,107790697.55781
232,53033023202,-1.032724802,-3.365439278,-3.280061002,107790697.54943
233,53033023300,0.153401316,0.824676139,0.045290074,107790697.76631
234,53033023401,0.134084817,-0.943028802,0.055706209,107790697.96798
235,53033023403,0.806508431,1.001446634,1.14419231,107790697.97958
