GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,53033006900,WA,53033006900,53033006900,150139,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007001,WA,53033007001,53033007001,58088,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007002,WA,53033007002,53033007002,69613,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007101,WA,53033007101,53033007101,112258,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007102,WA,53033007102,53033007102,96154,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007201,WA,53033007201,53033007201,109335,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007202,WA,53033007202,53033007202,173264,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007203,WA,53033007203,53033007203,120000,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007301,WA,53033007301,53033007301,91232,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007302,WA,53033007302,53033007302,132978,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007303,WA,53033007303,53033007303,123095,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007403,WA,53033007403,53033007403,85260,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007404,WA,53033007404,53033007404,97794,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007405,WA,53033007405,53033007405,76250,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007406,WA,53033007406,53033007406,56801,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007501,WA,53033007501,53033007501,68798,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007502,WA,53033007502,53033007502,101375,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007503,WA,53033007503,53033007503,64609,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007600,WA,53033007600,53033007600,120103,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007700,WA,53033007700,53033007700,126815,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007800,WA,53033007800,53033007800,169159,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033007901,WA,53033007901,53033007901,69510,2017-2021,2020,Census,"King (County, 2020)"
